,0,1
0,NCU1,"[{'HardwareId': 133}, {'SoftwareId': 0}, {'ipAddress3': 192}, {'ipAddress2': 168}, {'ipAddress1': 112}, {'ipAddress0': 110}, {'macAddress5': 75}, {'macAddress4': 188}, {'macAddress3': 190}, {'macAddress2': 121}, {'macAddress1': 108}, {'macAddress0': 0}, {'WindAlarmOnThr_mps_1': 22.190000534057617}, {'WindAlarmOffThr_mps_1': 9.687528610229492}, {'WindAlarmOnTime_s_1': 30}, {'WindAlarmOffTime_s_1': 300}, {'WindLevel1Thr_mps_1': 11.0625}, {'WindLevel2Thr_mps_1': 12.515000343322754}, {'WindLevel3Thr_mps_1': 13.897500038146973}, {'WindLevel4Thr_mps_1': 16.690000534057617}, {'WindLevel5Thr_mps_1': 19.469999313354492}, {'WindLevel6Thr_mps_1': 22.125}, {'WindLevel7Thr_mps_1': 25.000028610229492}, {'WindLevel1OnTime_s_1': 15}, {'WindLevel2OnTime_s_1': 15}, {'WindLevel3OnTime_s_1': 15}, {'WindLevel4OnTime_s_1': 15}, {'WindLevel5OnTime_s_1': 15}, {'WindLevel6OnTime_s_1': 10}, {'WindLevel7OnTime_s_1': 5}, {'WindLevel1OffTime_s_1': 15}, {'WindLevel2OffTime_s_1': 3}, {'WindLevel3OffTime_s_1': 3}, {'WindLevel4OffTime_s_1': 5}, {'WindLevel5OffTime_s_1': 3}, {'WindLevel6OffTime_s_1': 3}, {'WindLevel7OffTime_s_1': 300}, {'WindHighTime_s_1': 0}, {'GustyWindTime_s_1': 1800}, {'GustyWindNum_1': 3}]"
1,TCU1,"[{'SafePositionState_s1': 0}, {'MainState_s1': 2}, {'BTActive_a1_s1': 1}, {'Alarms1_s1': []}, {'Alarms2_s1': []}, {'FlagsA_s1': [15, 6]}, {'PanelVoltage_mV_s1': 23947}, {'Position_a1_rad_s1': 0.302734375}, {'MotorCurrent_a1_mA_s1': 0}, {'MotorCurrentPeak_s1': 975}, {'TargetAngle_a1_rad_s1': 0.3066413998603821}, {'PanelCurrent_mA_s1': 26}, {'FinishCharge_days_s1': 255}, {'StateOfCharge_s1': 100}, {'RemainingCapatity_mAh_s1': 0}, {'FullCapatity_mAh_s1': 0}, {'Voltage_mV_s1': 28086}, {'AvgCurrent_mA_s1': 0}, {'Current_mA_s1': 0}, {'TempPcb_Kx10_s1': 3110}, {'TempBat_Kx10_s1': 3110}, {'MbAddress_PUB_s1': 1}, {'StateOfHealth_s1': 0}]"
2,TCU2,"[{'SafePositionState_s1': 0}, {'MainState_s1': 2}, {'BTActive_a1_s1': 1}, {'Alarms1_s1': []}, {'Alarms2_s1': []}, {'FlagsA_s1': [15, 6]}, {'PanelVoltage_mV_s1': 23930}, {'Position_a1_rad_s1': 0.310546875}, {'MotorCurrent_a1_mA_s1': 0}, {'MotorCurrentPeak_s1': 1028}, {'TargetAngle_a1_rad_s1': 0.3066413104534149}, {'PanelCurrent_mA_s1': 23}, {'FinishCharge_days_s1': 255}, {'StateOfCharge_s1': 100}, {'RemainingCapatity_mAh_s1': 0}, {'FullCapatity_mAh_s1': 0}, {'Voltage_mV_s1': 28177}, {'AvgCurrent_mA_s1': 0}, {'Current_mA_s1': 0}, {'TempPcb_Kx10_s1': 3100}, {'TempBat_Kx10_s1': 3100}, {'MbAddress_PUB_s1': 2}, {'StateOfHealth_s1': 0}]"
3,TCU3,"[{'SafePositionState_s1': 0}, {'MainState_s1': 2}, {'BTActive_a1_s1': 1}, {'Alarms1_s1': []}, {'Alarms2_s1': []}, {'FlagsA_s1': [15, 6]}, {'PanelVoltage_mV_s1': 23896}, {'Position_a1_rad_s1': 0.3027503192424774}, {'MotorCurrent_a1_mA_s1': 535}, {'MotorCurrentPeak_s1': 996}, {'TargetAngle_a1_rad_s1': 0.3066594898700714}, {'PanelCurrent_mA_s1': 633}, {'FinishCharge_days_s1': 255}, {'StateOfCharge_s1': 100}, {'RemainingCapatity_mAh_s1': 0}, {'FullCapatity_mAh_s1': 0}, {'Voltage_mV_s1': 28193}, {'AvgCurrent_mA_s1': 0}, {'Current_mA_s1': 0}, {'TempPcb_Kx10_s1': 3100}, {'TempBat_Kx10_s1': 3100}, {'MbAddress_PUB_s1': 3}, {'StateOfHealth_s1': 0}]"
4,TCU4,"[{'SafePositionState_s1': 0}, {'MainState_s1': 2}, {'BTActive_a1_s1': 1}, {'Alarms1_s1': []}, {'Alarms2_s1': []}, {'FlagsA_s1': [15, 6]}, {'PanelVoltage_mV_s1': 24016}, {'Position_a1_rad_s1': 0.3125}, {'MotorCurrent_a1_mA_s1': 0}, {'MotorCurrentPeak_s1': 921}, {'TargetAngle_a1_rad_s1': 0.30664122104644775}, {'PanelCurrent_mA_s1': 20}, {'FinishCharge_days_s1': 255}, {'StateOfCharge_s1': 100}, {'RemainingCapatity_mAh_s1': 0}, {'FullCapatity_mAh_s1': 0}, {'Voltage_mV_s1': 30987}, {'AvgCurrent_mA_s1': 0}, {'Current_mA_s1': 0}, {'TempPcb_Kx10_s1': 3100}, {'TempBat_Kx10_s1': 3100}, {'MbAddress_PUB_s1': 4}, {'StateOfHealth_s1': 0}]"
5,TCU5,"[{'SafePositionState_s1': 0}, {'MainState_s1': 2}, {'BTActive_a1_s1': 1}, {'Alarms1_s1': []}, {'Alarms2_s1': []}, {'FlagsA_s1': [15, 6]}, {'PanelVoltage_mV_s1': 24029}, {'Position_a1_rad_s1': 0.302734375}, {'MotorCurrent_a1_mA_s1': 0}, {'MotorCurrentPeak_s1': 1017}, {'TargetAngle_a1_rad_s1': 0.3066413998603821}, {'PanelCurrent_mA_s1': 26}, {'FinishCharge_days_s1': 255}, {'StateOfCharge_s1': 100}, {'RemainingCapatity_mAh_s1': 0}, {'FullCapatity_mAh_s1': 0}, {'Voltage_mV_s1': 28238}, {'AvgCurrent_mA_s1': 0}, {'Current_mA_s1': 0}, {'TempPcb_Kx10_s1': 3110}, {'TempBat_Kx10_s1': 3110}, {'MbAddress_PUB_s1': 5}, {'StateOfHealth_s1': 0}]"
6,TCU6,"[{'SafePositionState_s1': 0}, {'MainState_s1': 2}, {'BTActive_a1_s1': 1}, {'Alarms1_s1': []}, {'Alarms2_s1': []}, {'FlagsA_s1': [15, 6]}, {'PanelVoltage_mV_s1': 24038}, {'Position_a1_rad_s1': 0.302734375}, {'MotorCurrent_a1_mA_s1': 0}, {'MotorCurrentPeak_s1': 932}, {'TargetAngle_a1_rad_s1': 0.3066413700580597}, {'PanelCurrent_mA_s1': 25}, {'FinishCharge_days_s1': 255}, {'StateOfCharge_s1': 100}, {'RemainingCapatity_mAh_s1': 0}, {'FullCapatity_mAh_s1': 0}, {'Voltage_mV_s1': 28253}, {'AvgCurrent_mA_s1': 0}, {'Current_mA_s1': 0}, {'TempPcb_Kx10_s1': 3100}, {'TempBat_Kx10_s1': 3100}, {'MbAddress_PUB_s1': 6}, {'StateOfHealth_s1': 0}]"
7,TCU7,"[{'SafePositionState_s1': 0}, {'MainState_s1': 2}, {'BTActive_a1_s1': 1}, {'Alarms1_s1': []}, {'Alarms2_s1': []}, {'FlagsA_s1': [15, 6]}, {'PanelVoltage_mV_s1': 23982}, {'Position_a1_rad_s1': 0.306640625}, {'MotorCurrent_a1_mA_s1': 0}, {'MotorCurrentPeak_s1': 1092}, {'TargetAngle_a1_rad_s1': 0.30664128065109253}, {'PanelCurrent_mA_s1': 22}, {'FinishCharge_days_s1': 255}, {'StateOfCharge_s1': 100}, {'RemainingCapatity_mAh_s1': 0}, {'FullCapatity_mAh_s1': 0}, {'Voltage_mV_s1': 28208}, {'AvgCurrent_mA_s1': 0}, {'Current_mA_s1': 0}, {'TempPcb_Kx10_s1': 3100}, {'TempBat_Kx10_s1': 3100}, {'MbAddress_PUB_s1': 7}, {'StateOfHealth_s1': 0}]"
8,TCU8,"[{'SafePositionState_s1': 0}, {'MainState_s1': 2}, {'BTActive_a1_s1': 1}, {'Alarms1_s1': []}, {'Alarms2_s1': []}, {'FlagsA_s1': [15, 6]}, {'PanelVoltage_mV_s1': 23999}, {'Position_a1_rad_s1': 0.30859375}, {'MotorCurrent_a1_mA_s1': 0}, {'MotorCurrentPeak_s1': 1007}, {'TargetAngle_a1_rad_s1': 0.30664128065109253}, {'PanelCurrent_mA_s1': 22}, {'FinishCharge_days_s1': 255}, {'StateOfCharge_s1': 100}, {'RemainingCapatity_mAh_s1': 0}, {'FullCapatity_mAh_s1': 0}, {'Voltage_mV_s1': 28223}, {'AvgCurrent_mA_s1': 0}, {'Current_mA_s1': 0}, {'TempPcb_Kx10_s1': 3090}, {'TempBat_Kx10_s1': 3090}, {'MbAddress_PUB_s1': 8}, {'StateOfHealth_s1': 0}]"
9,TCU9,"[{'SafePositionState_s1': 0}, {'MainState_s1': 2}, {'BTActive_a1_s1': 1}, {'Alarms1_s1': []}, {'Alarms2_s1': []}, {'FlagsA_s1': [15, 6]}, {'PanelVoltage_mV_s1': 23973}, {'Position_a1_rad_s1': 0.306640625}, {'MotorCurrent_a1_mA_s1': 0}, {'MotorCurrentPeak_s1': 964}, {'TargetAngle_a1_rad_s1': 0.30664128065109253}, {'PanelCurrent_mA_s1': 22}, {'FinishCharge_days_s1': 255}, {'StateOfCharge_s1': 100}, {'RemainingCapatity_mAh_s1': 0}, {'FullCapatity_mAh_s1': 0}, {'Voltage_mV_s1': 28177}, {'AvgCurrent_mA_s1': 0}, {'Current_mA_s1': 0}, {'TempPcb_Kx10_s1': 3110}, {'TempBat_Kx10_s1': 3110}, {'MbAddress_PUB_s1': 9}, {'StateOfHealth_s1': 0}]"
10,TCU10,"[{'SafePositionState_s1': 0}, {'MainState_s1': 2}, {'BTActive_a1_s1': 1}, {'Alarms1_s1': []}, {'Alarms2_s1': []}, {'FlagsA_s1': [15, 6]}, {'PanelVoltage_mV_s1': 23844}, {'Position_a1_rad_s1': 0.302734375}, {'MotorCurrent_a1_mA_s1': 0}, {'MotorCurrentPeak_s1': 942}, {'TargetAngle_a1_rad_s1': 0.3066413402557373}, {'PanelCurrent_mA_s1': 24}, {'FinishCharge_days_s1': 255}, {'StateOfCharge_s1': 100}, {'RemainingCapatity_mAh_s1': 0}, {'FullCapatity_mAh_s1': 0}, {'Voltage_mV_s1': 27767}, {'AvgCurrent_mA_s1': 0}, {'Current_mA_s1': 0}, {'TempPcb_Kx10_s1': 3110}, {'TempBat_Kx10_s1': 3110}, {'MbAddress_PUB_s1': 10}, {'StateOfHealth_s1': 0}]"
11,TCU11,"[{'SafePositionState_s1': 0}, {'MainState_s1': 2}, {'BTActive_a1_s1': 1}, {'Alarms1_s1': []}, {'Alarms2_s1': []}, {'FlagsA_s1': [15, 6]}, {'PanelVoltage_mV_s1': 24029}, {'Position_a1_rad_s1': 0.302734375}, {'MotorCurrent_a1_mA_s1': 0}, {'MotorCurrentPeak_s1': 975}, {'TargetAngle_a1_rad_s1': 0.3066413104534149}, {'PanelCurrent_mA_s1': 23}, {'FinishCharge_days_s1': 255}, {'StateOfCharge_s1': 100}, {'RemainingCapatity_mAh_s1': 0}, {'FullCapatity_mAh_s1': 0}, {'Voltage_mV_s1': 28117}, {'AvgCurrent_mA_s1': 0}, {'Current_mA_s1': 0}, {'TempPcb_Kx10_s1': 3110}, {'TempBat_Kx10_s1': 3110}, {'MbAddress_PUB_s1': 11}, {'StateOfHealth_s1': 0}]"
12,TCU12,"[{'SafePositionState_s1': 0}, {'MainState_s1': 2}, {'BTActive_a1_s1': 1}, {'Alarms1_s1': []}, {'Alarms2_s1': []}, {'FlagsA_s1': [15, 6]}, {'PanelVoltage_mV_s1': 23926}, {'Position_a1_rad_s1': 0.3125}, {'MotorCurrent_a1_mA_s1': 0}, {'MotorCurrentPeak_s1': 878}, {'TargetAngle_a1_rad_s1': 0.3066413402557373}, {'PanelCurrent_mA_s1': 24}, {'FinishCharge_days_s1': 255}, {'StateOfCharge_s1': 100}, {'RemainingCapatity_mAh_s1': 0}, {'FullCapatity_mAh_s1': 0}, {'Voltage_mV_s1': 27798}, {'AvgCurrent_mA_s1': 0}, {'Current_mA_s1': 0}, {'TempPcb_Kx10_s1': 3090}, {'TempBat_Kx10_s1': 3090}, {'MbAddress_PUB_s1': 12}, {'StateOfHealth_s1': 0}]"
